6230,15253,S,725,AHT,873.68
5861,17751,S,3650,AIF,328.06
5661,16333,B,300,AML,466.8
5912,15576,B,900,ARM,885.925
6134,15556,S,500,ARM,874.2217
6258,19026,B,5000,ASA,2.125
6047,11717,B,250000,AUM,0.3
6126,16969,B,2500,AVS,107.2
5768,17502,S,1000,BARC,217.4
5805,16812,B,11300,BARC,219.4
5839,19929,B,1000,BARC,217.764
5933,15587,B,4000,BARC,217.9995
6129,19651,B,250,BARC,215.15
5814,17544,B,2000,BBY,239.46
6142,15556,S,2000,BBY,236.308
6144,14484,B,500,BGL,3.89
6025,16316,S,124,BHMG,1958.4
6279,16969,B,105,BLT,1913
5892,16519,S,2000,BLUR,85.3
6131,16519,S,4000,BLUR,85.55
5628,16762,B,5000,BLVN,38.75
5688,10575,B,10000,BLVN,38.1
5895,19660,B,18500,BLVN,38.075
6099,12423,B,10000,BLVN,39.375
6130,12423,B,5000,BLVN,39.32
6023,13787,S,3150,BOK,132.13
6139,15556,S,550,BOK,131.61
5939,15580,B,2500,BP.,516.48
5622,17820,B,5800,BUR,120.9
5780,16812,S,1200,CEY,63.1
5781,16812,S,1300,CEY,63.05
5782,16812,S,1579,CEY,62.95
5783,16812,S,1526,CEY,62.9
5784,16812,S,1654,CEY,62.8
5785,16812,S,1052,CEY,62.75
5786,16812,S,2305,CEY,62.7
5787,16812,S,1654,CEY,62.7
5788,16812,S,1418,CEY,62.65
5789,16812,S,14857,CEY,62.6
5790,16812,S,1669,CEY,62.6
5791,16812,S,1654,CEY,62.6
5792,16812,S,2237,CEY,62.55
5793,16812,S,1562,CEY,62.55
5794,16812,S,4333,CEY,62.5
6294,14652,S,229,CFDCPG_OLD,1020
6297,14652,S,771,CFDCPG_OLD,1020
5985,14149,S,100,CFDMGGT,505
6300,15183,S,2500,CFDPRU,1340.242
5843,14457,S,2250,CGL,539.016
5989,14457,B,2250,CGL,533.64
6089,17258,S,265,CLIN,369.2625
6179,18085,S,1400,CLIN,371.55
6292,17012,S,10000,CRAW,66.3
6186,17387,B,200,CRST,350.41
5865,19930,S,1700,CWC,47.89
5894,16519,B,656000,CYAN,0.262
6136,16519,B,1200000,CYAN,0.279
6164,16519,B,1125000,CYAN,0.28
5982,19334,B,4500,DEB,67.495
6171,17387,B,100,DPH,728.92
5857,10907,S,400,EMG,101.51
5858,10907,S,138,ESUR,265.352
5866,19930,S,138,ESUR,265.352
6330,11920,B,3550,ESUR,264.764
6307,11920,B,10000,EVR,92.696
6049,18836,B,3000,FCCN,64
6064,13828,S,650,FLX,43.02
6137,17827,S,7500,FOXT,297.908
6143,15556,S,100,FSJ,1393.1
5976,18883,B,140,GAW,630
6101,19334,B,3000,GEMD,141.4375
5825,17719,B,390,GFRD,1152.1
6090,17258,S,385,GKN,367.936
5811,16969,S,2000,GKP,104
5847,16969,B,2000,GKP,103.5
5864,16969,B,679,GKP,103.5
5879,16969,B,7321,GKP,103.5
5945,16652,B,2000,GKP,100.1
6277,14375,S,2000,GKP,110.75
6128,13573,B,225,GWP,463.71
5998,13129,B,6000,HAYT,83.28
5972,18823,B,3764,HGG,236.68
5974,18883,B,1300,HGM,66.45
6071,12070,B,1250,HRN,77.4
5737,18048,B,165,HSBA,597.988
5947,11439,B,800,HSBA,596.875
6077,10541,B,185,HSBA,594.788
6146,15556,S,300,HSBA,596.513
6014,10954,B,1000,HSX_OLD,675.5
5646,10906,B,5000,HUR,38
5650,16762,B,5000,HUR,40
5729,19808,S,6000,HUR,36.775
5761,19808,S,6000,HUR,36.4
5838,16762,B,5000,HUR,37.175
6072,19008,B,1650,HUR,44
6104,16762,S,10000,HUR,44.25
6199,18134,B,5000,HUR,45
6206,18134,B,10000,HUR,45.25
6275,16813,B,10000,HYSR,1.83
5961,18823,S,3670,IAG,384.872
6145,18823,B,3683,IAG,382.989
5645,16125,S,400,IJPN,704.15
5817,17719,S,2000,IMG,204.644
5634,16125,S,500,IMIB,1044.4
6261,15948,B,15000,IMM,52.5
6111,14860,B,1600,INFI,232.997
6093,10036,B,1000,ING,158.8
5818,18911,B,260000,INSP,1.475
6029,10680,B,4500,IPU,310.86
6159,15556,S,2000,ITV,176.311
5973,18883,B,635,JIL,139.4
6203,13219,B,70000,JLP,1.5
5626,16125,S,500,JRS,465.05
5642,18506,B,600,JUKG,302.25
5822,13219,B,3000,LLOY,75.55
5868,19930,S,1350,LLOY,75.4332
6160,15556,S,5000,LLOY,75.325
6181,17387,B,1500,LOND.ISDX_OLD,38.425
5955,10575,B,50000,LSR,32.55
5970,10575,B,50000,LSR,32.55
6339,10575,S,3956,LSR,33.25
6032,19148,B,50000,MARL,3.65
6084,19148,B,50000,MARL,3.49
6234,16236,S,10000,MCM,113
5683,12847,B,9000,MONI,54.949
5685,13643,B,3840,MONI,54.75
5926,18088,B,5500,MRW,182.699
5938,11377,S,4950,MRW,182.61
6052,13467,B,300,MRW,182.88
6080,15587,B,4000,MRW,183.08
6039,11141,B,1500,MSLH,167.56
6229,13940,S,16000,MXP,1.15
6158,16519,S,3000,NANO,105
6015,14310,B,1000,NG.,837.9717
6165,15556,S,1620,NG.,837.555
6073,13939,B,200,NICL,998.85
6112,19158,B,1313,NPT_OLD,18.1
6212,19026,B,100000,OPE,0.2269
6177,10724,B,10000,OPHR,215.0158
5877,16969,S,200,PER_OLD,226.044
6088,19343,S,10500,PET,8.5
6092,19343,S,6372,PET,8.01
5644,16125,S,200,PHAG,1195.41
5927,16969,S,129,PIC,349
5928,16969,S,871,PIC,349
6079,14923,B,831,PLI,381.497
5991,12423,S,1000,PLUS,496
5944,16652,S,1000,PMG,226.75
6168,15556,S,475,PRU,1329.55
5826,16969,B,50000,PTCM,10.75
5870,19930,S,400,RBS,326.5782
6170,15556,S,381,RDSB,2550.3574
6304,19274,S,625,RDW,283.68
5651,12763,S,2000,RED,4.5
5648,16125,S,5000,REVO,48
6096,17304,S,59,REX,527.7618
6280,15973,B,3000,RKH,87.175
6041,11141,B,1500,RM.,166.82
5860,10907,S,227,RMG,497.872
6013,10680,S,227,RMG,498.08
6308,19274,S,2500,RNO,63.51
6278,17769,B,50000,ROSE,2.335
6172,15556,S,150,RR.,1064.548
6056,12442,B,98000,RRL,1.7
6102,12441,B,26000,RRL,1.7
5880,15580,S,1925,RSA,482.266
6196,18085,S,400,SAGA,172.65
5871,19930,S,400,SBRY,315.708
5943,11377,B,502,SCOP,1798.078
5846,13355,S,50,SGP,1051.7225
6180,13954,S,6000,SHG,13.225
5649,10906,S,1000,SIA,424.05
6091,11377,S,2000,SKP,248.8
6263,11377,S,2000,SKP,250.7775
6248,13281,B,85000,SKR,1.76
5746,19800,S,1500,SMDS,284.02
6062,11610,B,2500,SMP,361.9
6309,19493,B,1500,SNR,277
5951,16928,B,15000,SPBARMS,187
5841,16928,S,3500,SPBBET_OLD,988.9311
5941,16928,B,2000,SPBBET_OLD,979.74
6034,16928,B,1500,SPBBET_OLD,972.1968
6183,19080,B,1000,SPBEMG,101.864
5700,16928,B,6338,SPBIMG,200.5
5704,16928,B,747,SPBIMG,200.5
5715,16928,B,415,SPBIMG,200.5
5723,16928,S,200,SPBIMG,202.3
5759,16928,S,3501,SPBIMG,202.3
5766,16928,S,3799,SPBIMG,202.3
5820,16928,B,5000,SPBMTC,236.7164
5851,16928,B,5000,SPBMTC,238
5629,16928,S,1,SPBREDD,60
5763,16928,S,14999,SPBREDD,60
5653,14149,S,500,SPBREL,931
5670,16928,S,1000,SPBTEP,1358.09
5931,16928,B,1000,SPBTEP,1353.74
5690,14013,S,1000,SPBWMH,327.9022
5633,16125,S,200,STAN,1201.9871
6173,15556,S,120,SVT,1906.22
6200,11427,B,250,SVT,1907.3253
5969,19577,B,150,TATE,669.2789
6107,14860,B,600,TATE,673.95
6108,13573,S,300,TCG,130.5428
5675,13206,B,3500,TEG,5.3
5977,11826,B,950,TEP,1353.16
5990,12820,S,1500,TLPR,270.816
6082,19768,B,20000,TMZ,5.67
6095,19343,B,108000,TOM,1.27
5953,10375,S,1115,TSB,279
6236,10208,B,948,TSB,277.91
6238,10208,B,83,TSB,277.91
5873,19930,S,400,TSCO,285.086
5957,14058,B,1200,TSTL,79.7
5997,17502,S,1000,TW.,112.7
6276,17208,B,200000,ULT,0.72
6310,19274,S,550,UTW,296.7
6100,17786,B,10000,VLS,220.9442
6113,14170,B,1100,VLX,77.19
6201,18263,S,3750,VLX,77.27
5641,18863,S,1636,VOD,195.1
6022,12072,B,2500,VOD,195.4
6175,15556,S,3272,VOD,195.9083
6017,12072,S,147,VZC,2880.96
6176,15556,S,157,VZC,2881.12
6217,14569,B,130,WAND,514.4
6178,15556,S,1250,WLF,230.6666
6040,18302,B,202,XAR,521.7
6037,12442,S,2794,XEL,60.295
6076,17405,B,300000,XTR,0.2335
5643,16125,S,1250,XUKS,560.25
